,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,5,1,1,1.6666666666666667,1.4907119849998598
GT,8,2,2,8,2,4,4.333333333333333,2.6874192494328497
HP.Total.Propulsion,2,5,3,7,7,2,4.333333333333333,2.1343747458109497
cubic_meter,6,7,7,1,5,9,5.833333333333333,2.4776781245530843
draught_mean,3,3,6,12,3,10,6.166666666666667,3.624760528488591
Dwt,13,8,12,6,4,3,7.666666666666667,3.7712361663282534
LOA..m.,4,9,12,2,8,11,7.666666666666667,3.590109871423003
speed_mean,11,4,4,11,10,6,7.666666666666667,3.0912061651652345
NT,9,12,9,9,6,5,8.333333333333334,2.285218200133681
ME_W_ref_first,5,6,12,10,11,7,8.5,2.6299556396765835
Beam.Mld..m.,10,14,5,3,13,8,8.833333333333334,3.9756201472921875
Depth.Moulded..m.,7,11,12,4,9,12,9.166666666666666,2.9107081994288304
Main.Bunker.Capacity..m3.,12,10,8,13,12,13,11.333333333333334,1.7950549357115015
LDT,14,13,12,14,14,14,13.5,0.7637626158259734
