dataset,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,237,13.882320675105486,1.7676708600905038,237,13.718565400843882,0.9315862911992473,237,10598.042194092826,3161.173986478502,237,7.655006680393411,1.6456543109476982,237,11.077875565668727,1.489703868761595,237,174.957805907173,0.6495698024616309
Training,1905,12.614850393700788,2.585703318325659,1905,14.17444094488189,0.7733473262241867,1905,9490.115485564305,3550.580215381389,1905,6.810821708350535,1.7222625252302433,1905,9.966261095685821,2.178735258105235,1905,175.96062992125985,3.4255318580555913
