dataset,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,NT_count,NT_mean,NT_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,draught_mean_count,draught_mean_mean,draught_mean_std
Test,90,11334.08888888889,5999.64480529996,535,60083.246728971964,35180.96946398581,535,31.478186915887846,4.5934982021099415,535,12331.842990654206,3981.039759543003,535,200.38022429906542,30.997745978616553,535,34128.93644859813,17184.026167724267,379,2261.842506596306,965.6141101977602,534,19984.687265917604,11641.164035557798,535,17.393644859813083,3.002873839650983,535,9065.27476635514,2932.208851098342,535,7.113931596923072,1.5866850734895,535,117349.95802038879,60531.82427504895,535,9.751600079794075,1.8238217478311134
Training,360,11857.275,5881.139173416078,1607,69848.53951462352,46286.58012906504,1607,32.664387056627255,5.864887230262224,1607,13319.58245177349,5006.232471969608,1607,207.26990043559425,38.977898894523236,1607,38963.58556316117,22696.41979203064,1113,2557.7677987421384,1282.8245529414435,1605,23125.628660436138,15069.075711649257,1607,18.033596764156815,3.4379599509517527,1607,9794.949595519602,3685.582733977024,1607,6.834411035038682,1.7752308917300594,1607,134465.03462352333,80627.99618331538,1607,10.20166636817371,2.2269580116151135
