set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,NT_count,NT_mean,NT_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,draught_mean_count,draught_mean_mean,draught_mean_std
Test,147,7331.741496598639,1793.0766781747466,536,29451.66604477612,7403.317407103493,536,26.811809701492535,3.0461725163281237,536,8878.751865671642,1938.1263319250338,536,171.2484328358209,16.698893649825745,536,18841.442164179105,4749.643476675619,425,1488.189576470588,441.57954887348524,536,9968.871268656716,2508.6972245979937,536,13.874626865671642,1.2900795638530504,536,15459.670457369524,10537.902551267864,536,6532.66604477612,1424.3664820478384,536,6.181818851415197,1.790279253186741,536,65193.18095429104,15836.763329151825,536,8.144758128833674,0.8846973040247333
Training,303,13897.42904290429,6008.847027790949,1606,80077.86239103362,43811.01709214632,1606,34.22252179327521,4.994634285193152,1606,14472.661270236613,4637.6427284872825,1606,216.9968804483188,35.13952049658081,1606,44068.773349937735,21275.994114636418,1067,2878.6816307403933,1200.6993666478063,1603,26478.566437928883,14299.283017472559,1606,19.20846201743462,2.6928028572755642,1606,13290.584175242215,8541.82916726835,1606,10640.658156911582,3418.1837892405506,1606,7.1453281651945595,1.646132717182614,1606,151882.9347381133,76367.25381480316,1606,10.738227608524367,2.043221536220193
