,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,10,2,5,3.3333333333333335,3.299831645537222
t_over_t_ref_with_m_sum,7,5,3,2,7,2,4.333333333333333,2.1343747458109497
v_over_v_ref_without_n_sum,2,3,6,7,5,4,4.5,1.707825127659933
GT,13,8,2,3,8,1,5.833333333333333,4.2196629670573875
cal_fc,3,2,19,8,1,6,6.5,6.075908711186061
t_over_t_ref_without_m_sum,4,6,19,1,6,10,7.666666666666667,5.734883511361751
rel_power_ship_sum,5,7,4,6,24,7,8.833333333333334,6.86577664134866
ME_W_ref_first,15,17,5,11,9,9,11.0,4.0
LBP..m.,16,15,19,4,11,3,11.333333333333334,6.018490028422596
Draught..m.,12,9,19,17,4,12,12.166666666666666,4.946940693218609
LOA..m.,11,10,19,9,16,8,12.166666666666666,3.975620147292188
v_over_v_ref_with_n_sum,6,4,19,5,22,22,13.0,8.082903768654761
rel_power_ship_cubed_sum,8,12,19,20,3,19,13.5,6.3966136874651625
Beam.Mld..m.,9,18,10,13,15,17,13.666666666666666,3.34995854037363
age,14,14,7,18,18,16,14.5,3.730504880933232
trip_nunique,17,16,9,19,12,18,15.166666666666666,3.531603350069515
Dwt,19,13,19,14,14,14,15.5,2.5
rel_power_ship_squared_sum,21,11,19,12,21,11,15.833333333333334,4.561310727801336
port_frac,23,21,8,16,23,15,17.666666666666668,5.343739847293799
Size.Category,10,25,19,15,26,13,18.0,5.94418483337567
TPC,18,22,19,21,13,20,18.833333333333332,2.9107081994288304
NT,20,19,19,22,17,23,20.0,2.0
Main.Bunker.Capacity..m3.,24,20,19,24,10,24,20.166666666666668,4.9805175991613115
Speed..knots.,25,24,19,23,19,21,21.833333333333332,2.3392781412697
missing_frac_sea,22,23,19,25,20,25,22.333333333333332,2.2852182001336816
LDT,26,26,19,26,25,26,24.666666666666668,2.560381915956203
total_jump_distance,27,28,19,27,27,27,25.833333333333332,3.0776975521032313
ME_SFC_base_first,28,27,28,28,28,28,27.833333333333332,0.372677996249965
