model,class_name,mae,te,mse,mape,r2,params
cb,CatBoostRegressor,67.2867951233112,-13318.92815444867,9457.399859511961,0.05654245034354874,0.9895700862088372,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.05}"
rf,RandomForestRegressor,69.71229313404444,-24614.91629942475,14766.607665200372,0.05612661206512796,0.9837149272290671,"{'max_depth': 50, 'n_estimators': 700}"
gb,GradientBoostingRegressor,76.62527460250843,-15414.605722700973,15923.079191515697,0.06455335923213798,0.982439534573519,"{'learning_rate': 0.05, 'max_depth': 4}"
ridge,Ridge,155.28435541024268,-52836.27717421102,62942.26610634234,0.12901145792326887,0.9305853174168894,{'alpha': 0.1}
linear,LinearRegression,155.4071561580013,-52123.086069927725,62963.61620928973,0.12908713746629996,0.9305617718614003,{}
lasso,Lasso,169.13175719526046,-76783.74693481092,78509.29451247788,0.13755331245212754,0.913417515835858,{'alpha': 0.005}
