set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,work_sum_count,work_sum_mean,work_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,536,12.400429104477611,2.0965432169132576,536,13.63945895522388,0.8875177429812713,536,2007374.9178704277,1308150.880083265,536,9004.817164179105,2924.8175832828497,536,9.679462425895606,1.6944931656545075,536,175.42910447761193,2.3685264831142496
Training,1606,12.873455790784558,2.6609440060512872,1606,14.28571606475716,0.7051568511693747,1606,1882228.9363780622,1302077.6398144292,1606,9815.581569115815,3683.695674328727,1606,10.2260224383966,2.2556351087916857,1606,175.99003735990038,3.4879267152836078
