model,class_name,r2,mse,mae,mape,params
ridge,Ridge,0.959111246824961,36273.78007403665,119.29261387850082,0.09633003896693641,{'alpha': 1}
linear,LinearRegression,0.9588550050213785,36501.10074554589,119.23871686383339,0.0958587689077722,{}
lasso,Lasso,0.9571395868042524,38022.9056016797,122.56856413441189,0.09885415447731771,{'alpha': 0.005}
