model,2019,2020,2021
cb,907527.6874021625,926494.338208901,965845.7361535628
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,908449.8115141813,926565.6573928999,963476.2399747602
lasso,876252.2508386883,914679.0230086877,926895.2942099221
linear,881425.0786017613,929768.8063633973,932804.8163072334
report,918483.4,922127.14,982486.35
rf,902064.4944857458,918309.5638816262,960219.5806949362
ridge,881457.0232059304,929279.2223837038,932549.2611489788
