model,class_name,mae,te,mse,mape,r2,params
linear,LinearRegression,542.3417626479936,25915.98325374485,3549338.0612853672,0.4856380290959024,-2.01415771736737,{}
linearstruct,LinearRegression,79892492.06837814,17176579287.918652,6.858846781196315e+17,20554.17542620626,-582464831492.0138,{'fit_intercept': False}
