model,class_name,r2,corr,mse,mae,mape,params
cb,CatBoostRegressor,0.9980827155842312,0.9990482288345187,0.0009659408016723134,0.02424131242110887,0.0035146940590453446,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.05}"
rf,RandomForestRegressor,0.9935784856335976,0.9969345001452702,0.003235202187019127,0.04154372817743114,0.006176912472631427,"{'max_depth': 50, 'n_estimators': 700}"
gb,GradientBoostingRegressor,0.9913277360747512,0.9956830916566872,0.004369144973678667,0.04792598901043768,0.007104177396235034,"{'learning_rate': 0.01, 'max_depth': 6}"
linear,LinearRegression,0.9688333654598684,0.9842933330363809,0.015701960390186006,0.09453456092147505,0.013951898510595265,{}
ridge,Ridge,0.9678356746547767,0.9837879692490161,0.016204603737289467,0.09549830431581764,0.014097969351924023,{'alpha': 10}
lasso,Lasso,0.967406191594497,0.9836205488442464,0.016420980195648634,0.0971787264137887,0.014348009991221766,{'alpha': 0.005}
