,cb,gb,lasso,linear,rf,ridge,mean,sd
work_sum,1,1,1,1,1,1,1.0,0.0
ME_W_ref_first,2,3,2,2,3,2,2.3333333333333335,0.4714045207910317
Draught..m.,3,2,3,3,2,3,2.6666666666666665,0.4714045207910317
draught_mean,4,4,4,4,4,4,4.0,0.0
Speed..knots.,5,5,5,5,5,5,5.0,0.0
ME_SFC_base_first,6,6,6,6,6,6,6.0,0.0
