model,2019,2020,2021
eng,545168.4508139336,668954.6507061752,711236.3971323948
linear,690340.4620471053,748070.0956957677,870018.8267097773
linearstruct,690511.5371612762,747511.8416618855,872537.3063343989
report,493078.27999999997,515869.74,612778.15
