model,class_name,mae,te,mse,mape,r2,params
rf,RandomForestRegressor,0.004213205662074957,-0.29883605351143094,0.00027931370655944436,0.03908766667574953,0.8872671161809773,"{'max_depth': 30, 'n_estimators': 1000}"
cb,CatBoostRegressor,0.0043009807330306495,-0.0754757298914982,3.209809974818734e-05,0.04599089804914078,0.9870449918326736,"{'depth': 8, 'l2_leaf_reg': 7, 'learning_rate': 0.05}"
gb,GradientBoostingRegressor,0.008150154331672288,-0.5929965807289104,0.000913188512626273,0.08062498500563116,0.631430996470435,"{'learning_rate': 0.005, 'max_depth': 6}"
ridge,Ridge,0.012341100723642598,-0.7886000170859936,0.0015394200198492825,0.12498056018962521,0.3786797633956689,{'alpha': 1000}
linear,LinearRegression,0.012796450434302548,-0.6298656010271957,0.001372649366482815,0.13165257751963705,0.44598951672631426,{}
lasso,Lasso,0.013136478639464634,-0.9522022990153217,0.0016760586082249882,0.1307734065515098,0.32353151342865394,{'alpha': 0.005}
