,gb,lasso,linear,ridge,mean,sd
cal_fc,1,1,1,1,1.0,0.0
trip_nunique,2,2,3,2,2.25,0.4330127018922193
HP.Total.Propulsion,3,4,6,4,4.25,1.0897247358851685
port_frac,4,5,7,5,5.25,1.0897247358851685
NT,14,3,2,3,5.5,4.924428900898052
Speed..knots.,7,6,10,7,7.5,1.5
Draught..m.,5,14,8,6,8.25,3.491060010942235
LOA..m.,9,11,4,10,8.5,2.692582403567252
missing_frac_sea,12,7,11,9,9.75,1.920286436967152
longest_jump,6,8,15,13,10.5,3.640054944640259
age,10,9,14,12,11.25,1.920286436967152
Beam.Mld..m.,13,10,12,11,11.5,1.118033988749895
LBP..m.,11,14,5,16,11.5,4.153311931459037
Size.Category,16,14,9,8,11.75,3.344772040064913
Dwt,8,14,13,14,12.25,2.48746859276655
TPC,15,14,16,15,15.0,0.7071067811865476
