set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,cal_fc_count,cal_fc_mean,cal_fc_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,12.381009345794393,2.2570137271031316,535,14.0643738317757,0.5739125284615919,535,9065.27476635514,2932.208851098342,535,1550.824288459467,1151.9188675223866,535,685.0240199075405,458.5113362906425,535,442.3480119301403,336.2870028774953,535,385.0384617405348,448.0036030749509,535,175.6728971962617,2.507575417496021
Training,1607,12.879626633478532,2.6154376178260845,1607,14.143851897946483,0.8676105722475866,1607,9794.949595519602,3685.582733977024,1607,1443.2368586669572,1336.2023701698765,1607,575.3351410889798,441.00278660713553,1607,365.4230480470558,402.06256340596804,1607,346.85455209831264,701.9184667443645,1607,175.9085252022402,3.464241204972966
