model,class_name,mae,te,mse,mape,r2,params
cb,CatBoostRegressor,49.213314233113564,-7093.055750674361,5107.399294206154,0.03955317029072896,0.9932654922847819,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.05}"
rf,RandomForestRegressor,62.722287975857924,-16170.043833266971,9572.075088402178,0.05152602669479435,0.9873784660606781,"{'max_depth': 10, 'n_estimators': 200}"
gb,GradientBoostingRegressor,67.63231077883005,-8544.862412191316,11707.69592725759,0.05525257978361664,0.984562481997641,"{'learning_rate': 0.05, 'max_depth': 3}"
linear,LinearRegression,121.10158170372853,-16947.24982319572,36131.771843749215,0.10127955783657748,0.9523574167145572,{}
ridge,Ridge,121.16773166894355,-17047.328904296774,36161.96803777263,0.10131113875428532,0.9523176006575178,{'alpha': 0.1}
lasso,Lasso,124.47552405307401,-27144.705805493522,37702.74277388219,0.10292000717374726,0.9502859679712867,{'alpha': 0.005}
