class_name,mae,te,mse,mape,r2,params
GradientBoostingRegressor,0.008383541556662781,-0.6170151528544551,0.000834465351861716,0.08887071150367962,0.5950717801121587,"{'learning_rate': 0.005, 'max_depth': 6}"
LinearRegression,0.012266998316089305,-0.7169893825354783,0.0013963318475180362,0.13306538183148378,0.32242343180969235,{}
Lasso,0.012366305798352666,-0.9621133392605534,0.0015471706924462354,0.12948073674594238,0.249228175912674,{'alpha': 0.005}
Ridge,0.012045805874559341,-0.7485807247149154,0.0014032232624335192,0.1301350891715129,0.3190793404486678,{'alpha': 100}
