dataset,t_m_v_n_rel_sum_count,t_m_v_n_rel_sum_mean,t_m_v_n_rel_sum_std,t_m_v_n_rel_squared_sum_count,t_m_v_n_rel_squared_sum_mean,t_m_v_n_rel_squared_sum_std,t_m_v_n_rel_cubed_sum_count,t_m_v_n_rel_cubed_sum_mean,t_m_v_n_rel_cubed_sum_std
Test,1071,528.0284704935892,384.35038910291945,1071,4562062.76281364,3967472.611743214,1071,65645149121.75891,108266232980.44623
Training,215,838.0923988721283,661.3287138241006,215,8884905.627113828,7530606.653370638,215,124556369964.56221,186455554844.84882
