model,mae,te,mse,mape,r2,class_name,params
cb,8.921001537293106,-208.72343785913756,155.62806553888637,0.007103753545884373,0.9998678380231234,CatBoostRegressor,"{'learning_rate': 0.1, 'depth': 6, 'l2_leaf_reg': 7}"
rf,86.16230549909662,-5531.639450284495,34306.04212865394,0.06815591232066667,0.9708667306835896,RandomForestRegressor,"{'max_depth': 30, 'n_estimators': 1000}"
gb,128.86145451806962,-6958.775491593901,90195.71033980476,0.1190307036023812,0.923404282235178,GradientBoostingRegressor,"{'learning_rate': 0.005, 'max_depth': 6}"
linear,160.1711157132597,-3290.020773250433,55884.56778003492,0.13807854641624642,0.9525418829236765,LinearRegression,{}
linearstruct,160.80687552432937,-3564.4852861773456,56418.04477119959,0.13837868526721758,0.9520888452692766,LinearRegression,{'fit_intercept': False}
lasso,161.33466526330426,-7106.568175027626,61063.15860226354,0.13803054043947932,0.9481441362953219,Lasso,{'alpha': 0.01}
ridge,164.62954363211426,-3936.720575925866,58381.06276600698,0.14072945755264413,0.9504218172949852,Ridge,{'alpha': 1}
eng,318.3693747832371,-37058.50430957249,217584.4860484148,0.26132289149468124,0.8152235863481719,Calculation,
