class_name,mae,te,mse,mape,r2,params
GradientBoostingRegressor,0.008810545701597741,-0.5833651422991162,0.0008603781772736415,0.08712004642807086,0.652745601733048,"{'learning_rate': 0.005, 'max_depth': 5}"
LinearRegression,0.012623434103469073,-0.6754752727522499,0.0014969788427792363,0.1248878730501905,0.39580930688537164,{}
Lasso,0.013092356678941984,-0.9519361994663074,0.0016733057571559947,0.13031384397331125,0.324642582568635,{'alpha': 0.005}
Ridge,0.011990915760288896,-0.8057121088060599,0.0016063731762038771,0.11923577910366791,0.3516570207969879,{'alpha': 1000}
RandomForestRegressor,0.007154040839744996,-0.28099642542817665,0.0003216462197493798,0.07040630034242538,0.8701814301615103,"{'max_depth': 10, 'n_estimators': 200}"
CatBoostRegressor,0.007301777417060247,-0.20512408650029984,0.00010789750384462539,0.07755087783863766,0.9564518443612791,"{'depth': 10, 'l2_leaf_reg': 15, 'learning_rate': 0.05}"
