model,2019,2020,2021
eng,605233.6076266692,665676.2926768935,567728.7841637839
linear,656714.036689678,631271.4646329843,586409.4131855557
linearstruct,636548.0661565927,612399.5825496295,573024.9062139897
report,619095.28,575964.85,533034.44
