model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
linear,967074.5375429068,1011058.3042199156,1044197.9721867971
linearstruct,931874.9720225096,976622.5871690614,1014058.8425303065
report,918483.4,922127.14,982486.35
