year,report_target_count,report_target_mean,report_target_std,cal_target_count,cal_target_mean,cal_target_std
2019,458,1351.736419213974,1019.7045718818218,458,1321.4707590101948,1160.1894595539695
2020,445,1294.303033707865,941.5497567198931,445,1495.90178129639,1458.4544681822701
2021,383,1391.734830287206,1021.4773943094609,383,1482.320585284031,1300.557443607662
