model,mae,te,mse,mape,r2,class_name,params
linear,245.92204720887287,8945.686108582713,153256.2783247979,0.23761751735163694,0.7458789543054417,LinearRegression,{}
linearstruct,261.768641488099,-3096.782166537,167554.89350205768,0.23714068746819705,0.7221697850593463,LinearRegression,{'fit_intercept': False}
eng,639.7133524231299,125360.21122580743,2284124.959106804,0.5153681328696372,-2.7874090996462715,Calculation,
