model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
linear,927303.5793656857,966952.1514756735,965039.5256511017
linearstruct,862469.5780528388,903479.5033550876,905700.3518017203
report,918483.4,922127.14,982486.35
