dataset,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,NT_count,NT_mean,NT_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,draught_mean_count,draught_mean_mean,draught_mean_std
Test,135,13001.518518518518,6788.880734307718,536,83622.44776119402,56822.92976989699,536,34.11304104477612,7.321332260037351,536,14629.45708955224,5881.688650810335,536,217.43169776119402,47.70335420631106,536,45641.51119402985,27913.12703578305,386,2939.778316062176,1460.1592455719017,536,27628.876865671642,18535.986349159066,536,18.810727611940298,4.025015612956621,536,10767.524253731342,4325.409500290701,536,6.51311438070867,1.7973367150735429,536,158509.05252197388,99364.27791205935,536,10.838548662527105,2.651998691519922
Training,315,11217.403174603174,5402.180363601499,1606,61998.44831880448,37229.86112111252,1606,31.78574719800747,4.750472352533843,1606,12553.372353673723,4240.795847349734,1606,201.58328767123288,32.09913389075333,1606,35124.29202988792,18224.4261805411,1106,2323.0374683544305,1075.215540853531,1603,20573.53649407361,12152.872367239617,1606,17.561046077210463,3.0229451343190146,1606,9227.280821917808,3123.3513351581933,1606,7.034758798008194,1.6928165650481086,1606,120738.90786371856,64412.53589443362,1606,9.839179211226933,1.877591813404867
