set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,work_sum_count,work_sum_mean,work_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,12.713046728971964,2.4704737046824996,535,14.269065420560747,0.633875973983699,535,1974812.604283511,1341700.5877247779,535,9612.166355140187,3453.688554766169,535,10.086773664038464,2.073195911440422,535,176.00934579439252,3.2541973100922035
Training,1607,12.769085252022403,2.5624843170337415,1607,14.075706285003111,0.849059392157749,1607,1893147.4079091717,1291552.6309074867,1607,9612.879278158058,3550.9591552009347,1607,10.090080887420289,2.1649091670475986,1607,175.79651524579964,3.2516362856042753
