model,2019,2020,2021
cb,915101.9644492493,933578.2165615681,973810.2716763872
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,908754.725428198,931783.7649178327,962875.7406030189
lasso,897095.4892700699,939984.03206105,953198.5330577665
linear,912352.1985931548,947875.0115427257,966402.5660298401
report,918483.4,922127.14,982486.35
rf,905922.2129546291,928539.7403722265,959743.0653706186
ridge,912285.131887631,947652.8975170078,966292.2652419383
