model,2019,2020,2021
cb,915905.7837248885,942445.1303686189,964478.8552415979
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,917010.2990228132,941163.1057434694,965665.2090477328
lasso,905016.9075987018,939986.6315944665,946632.6921510913
linear,908619.8907266043,941595.6414744642,950204.9399125507
report,918483.4,922127.14,982486.35
rf,910868.9997824833,932250.4819807601,962805.4943063196
ridge,908079.5640642927,940949.2363358692,949750.7609494946
