model,2019,2020,2021
cb,910547.6144230528,932682.7106351583,962010.9893967276
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,911104.8359412001,931352.525366045,960120.9608324377
lasso,898285.4729525836,933287.6453763751,940298.040160666
linear,904491.7409911893,937816.980799183,946591.9649449191
report,918483.4,922127.14,982486.35
rf,906359.1748233904,926441.0265112077,958407.7191503287
ridge,901573.5406637555,934963.9372993903,943291.2456800293
