model,class_name,r2,corr,mse,mae,mape,params
gb,GradientBoostingRegressor,0.9983906193661366,0.9992005605248406,0.0008108168026007351,0.02104789447881916,0.003078537653154377,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.968744316555071,0.9842480970543304,0.01574682382817184,0.095225746278501,0.014034775487248557,{}
ridge,Ridge,0.9687057579589438,0.9842285109862736,0.015766249908594838,0.09517596355603854,0.014023853107418252,{'alpha': 0.01}
lasso,Lasso,0.9655746099060132,0.9828317148271933,0.017343743386102554,0.10020064257926212,0.014766594444962762,{'alpha': 0.01}
