model,2019,2020,2021
cb,918769.6662437933,949862.0777204602,966081.5716148927
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,913406.1920297225,942972.1216765575,955510.1783244536
lasso,912082.9076545114,946803.3230946992,951780.7787225547
linear,916816.3200959767,950845.5446854008,956667.1266479839
report,918483.4,922127.14,982486.35
rf,914435.0147267994,937076.1620074909,962282.5694690779
ridge,916815.0110838376,950844.132480457,956665.6076453457
