model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
linear,884526.8815287207,922544.9761405347,969788.5428809987
linearstruct,862406.7595092491,900559.2788665248,950863.03553632
report,918483.4,922127.14,982486.35
