model,class_name,r2,corr,mse,mae,mape,params
gb,GradientBoostingRegressor,0.9962167967088293,0.9981066335626693,0.0019060032981582046,0.029355762828932694,0.004245701253716322,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.9143212007426892,0.957834789866556,0.04316555611690092,0.12504252964535978,0.01813116679509934,{}
ridge,Ridge,0.9137697185701449,0.9575604260939394,0.043443396549689185,0.12418009517678602,0.017981610064105688,{'alpha': 0.01}
lasso,Lasso,0.8853013758259809,0.94353343770397,0.05778593935993434,0.1511646965895066,0.021975501381626884,{'alpha': 0.01}
