set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,12.713046728971964,2.4704737046824996,535,14.269065420560747,0.633875973983699,535,14621.699874199245,9729.463040948003,535,9612.166355140187,3453.688554766169,535,6.684529466886676,1.6839659084270457,535,10.086773664038464,2.073195911440422,535,176.00934579439252,3.2541973100922035
Training,1607,12.769085252022403,2.5624843170337415,1607,14.075706285003111,0.849059392157749,1607,13570.909843119145,8907.074765814838,1607,9612.879278158058,3550.9591552009347,1607,6.97736694018459,1.7446336966484302,1607,10.090080887420289,2.1649091670475986,1607,175.79651524579964,3.2516362856042753
