,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,3,1,1,1.3333333333333333,0.7453559924999298
t_over_t_ref_with_m_sum,4,3,3,5,7,5,4.5,1.3844373104863459
t_over_t_ref_without_m_sum,7,6,8,1,8,3,5.5,2.6299556396765835
GT,13,10,2,4,6,2,6.166666666666667,4.099457958749614
v_over_v_ref_without_n_sum,2,2,20,8,4,7,7.166666666666667,6.175669104549635
cal_fc,3,4,20,9,2,8,7.666666666666667,6.073622386096199
rel_power_ship_sum,5,7,6,7,22,9,9.333333333333334,5.792715732327589
v_over_v_ref_with_n_sum,6,5,20,2,19,4,9.333333333333334,7.295356209413097
ME_W_ref_first,15,16,5,12,5,12,10.833333333333334,4.374801582802229
age,10,13,4,14,16,14,11.833333333333334,3.9334745737353156
trip_nunique,9,8,7,17,14,17,12.0,4.163331998932265
Draught..m.,19,9,11,16,3,15,12.166666666666666,5.241395064505463
LBP..m.,14,17,20,6,11,6,12.333333333333334,5.2493385826745405
LOA..m.,16,15,20,10,9,10,13.333333333333334,3.9860869143671325
rel_power_ship_cubed_sum,8,11,20,20,13,19,15.166666666666666,4.740487551109298
rel_power_ship_squared_sum,17,14,20,11,24,11,16.166666666666668,4.740487551109298
port_frac,12,12,20,19,18,20,16.833333333333332,3.4840908267278126
Beam.Mld..m.,18,22,20,13,20,13,17.666666666666668,3.496029493900505
Size.Category,11,19,20,15,26,16,17.833333333333332,4.6696419087073
TPC,22,23,12,18,15,18,18.0,3.7859388972001824
missing_frac_sea,24,21,9,22,12,22,18.333333333333332,5.676462121975467
Dwt,23,18,20,23,10,23,19.5,4.645786621588784
NT,20,24,20,25,17,25,21.833333333333332,3.0230595245361758
LDT,26,25,10,24,25,24,22.333333333333332,5.557777333511022
Speed..knots.,21,20,20,27,21,27,22.666666666666668,3.0912061651652345
Main.Bunker.Capacity..m3.,25,26,20,21,23,21,22.666666666666668,2.211083193570267
total_jump_distance,27,28,20,26,28,26,25.833333333333332,2.733536577809454
ME_SFC_base_first,28,27,28,28,27,28,27.666666666666668,0.4714045207910317
