model,2019,2020,2021
eng,605233.6076266692,665676.2926768935,567728.7841637839
linear,397631.99405526236,374272.9901217173,353667.0078875833
linearstruct,12735152352.614191,100049772.13201545,49124003.96673142
report,619095.28,575964.85,533034.44
