set,Dwt_count,Dwt_mean,Dwt_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,GT_count,GT_mean,GT_std,NT_count,NT_mean,NT_std,speed_mean_count,speed_mean_mean,speed_mean_std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,LDT_count,LDT_mean,LDT_std,LOA..m._count,LOA..m._mean,LOA..m._std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std
Test,644,69410.40372670807,46921.743437136414,644,17.98577639751553,3.4639729686487413,644,38726.57919254658,23050.114431287093,644,23013.64285714286,15210.522757708355,644,6.641902920087065,1.8285576373428911,644,13269.287267080745,5083.690019197079,644,1717.5180070576453,1254.2893948716808,644,32.48400621118012,5.907631312127017,137,11870.788321167884,6160.896016564592,644,207.22284161490686,38.897362844236014,644,129481.35899556833,58405.96895741093,433,2514.5288914549656,1286.4978056807763,644,9755.9549689441,3743.6927195448875
Training,1133,67675.57193292145,43725.90413387179,1133,17.900061782877316,3.321183068573317,1133,37890.93380406002,21378.646544696665,1130,22436.428318584072,14267.25304101352,1133,6.78356077054802,1.6636631870773908,1133,13054.902030008827,4696.6846114395785,1133,1738.1915813900343,1340.0883988238268,1133,32.405278022947925,5.587221446833523,215,11733.116279069767,5773.735607870661,1133,205.97853486319505,37.01529808810308,1133,130607.27606314915,75930.39136618157,786,2468.0760432569973,1192.2867728727774,1133,9599.075022065314,3458.757149866389
