model,class_name,mae,te,mse,mape,r2,params
rf,RandomForestRegressor,87.12263246133809,-22987.560316237294,16211.051667552316,0.07287442349690433,0.9786244532220583,"{'max_depth': 10, 'n_estimators': 1000}"
gb,GradientBoostingRegressor,127.8773689467127,-25282.153877419172,41234.108255160725,0.10657282382589463,0.945629584808548,"{'learning_rate': 0.01, 'max_depth': 3}"
cb,CatBoostRegressor,136.28448957644005,-30052.39124771364,41416.287231329174,0.11185887889956213,0.9453893674983509,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.01}"
linear,LinearRegression,174.91291413591543,-77691.98115678359,73478.90371972242,0.14746014609524263,0.9031122856269355,{}
ridge,Ridge,174.91360005620578,-77694.03821776033,73479.65641472419,0.14746064488967586,0.903111293139369,{'alpha': 0.005}
lasso,Lasso,177.4620470772324,-85322.13211358369,76959.06481047133,0.14905990316924284,0.8985234194808251,{'alpha': 0.005}
