model,2019,2020,2021
cb,877416.5358021792,901588.9098250564,948161.7628677096
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,878108.7679763292,903566.2620795157,947158.9429005481
lasso,856097.8185835853,877705.8173424376,908782.2959834905
linear,879526.9698152981,928893.8716135678,932966.42590997
report,918483.4,922127.14,982486.35
rf,857221.4974313778,892980.1242703097,940164.3516316235
ridge,878461.5268728939,917477.5420331405,927719.2485965963
