model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,933334.9254834388,958601.1265260491,976178.5757006926
lasso,919515.8323484187,963614.1486106033,966524.6170823459
linear,934288.2427806988,969595.7047372051,976487.8074744082
report,918483.4,922127.14,982486.35
ridge,934529.0299602895,970026.3126084476,976842.7440472427
