,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,6,2,3,2.3333333333333335,1.7950549357115015
t_over_t_ref_with_m_sum,4,4,2,2,5,1,3.0,1.4142135623730951
GT,11,8,3,5,7,2,6.0,3.0550504633038935
t_over_t_ref_without_m_sum,5,5,20,1,3,5,6.5,6.211548384528075
cal_fc,3,3,20,7,1,6,6.666666666666667,6.289320754704403
rel_power_ship_sum,6,6,4,3,24,4,7.833333333333333,7.312470322826767
v_over_v_ref_without_n_sum,2,2,20,21,4,7,9.333333333333334,8.076027626390479
age,10,9,6,12,16,11,10.666666666666666,3.0368111930481
Draught..m.,13,12,5,16,6,15,11.166666666666666,4.2196629670573875
ME_W_ref_first,23,17,7,10,8,10,12.5,5.678908345800274
v_over_v_ref_with_n_sum,7,7,20,4,22,16,12.666666666666666,6.968181653455623
NT,12,16,20,9,12,8,12.833333333333334,4.099457958749615
LOA..m.,16,11,20,8,14,9,13.0,4.163331998932265
port_frac,15,20,9,11,19,12,14.333333333333334,4.068851871911234
Beam.Mld..m.,14,19,8,13,18,14,14.333333333333334,3.5901098714230026
rel_power_ship_cubed_sum,9,13,20,19,13,17,15.166666666666666,3.8477987935383986
trip_nunique,17,10,12,17,17,19,15.333333333333334,3.197221015541813
LBP..m.,8,14,20,22,11,20,15.833333333333334,5.177408189003023
Dwt,19,18,20,14,10,21,17.0,3.8297084310253524
Main.Bunker.Capacity..m3.,18,21,20,26,9,26,20.0,5.744562646538029
Size.Category,25,25,20,15,25,13,20.5,4.958158260214505
missing_frac_sea,22,24,11,23,21,24,20.833333333333332,4.524623986832742
rel_power_ship_squared_sum,21,15,20,28,23,18,20.833333333333332,4.058598553961973
Speed..knots.,20,23,20,20,20,23,21.0,1.4142135623730951
TPC,24,22,20,24,15,27,22.0,3.7859388972001824
ME_SFC_base_first,28,28,10,18,28,22,22.333333333333332,6.674994798166928
LDT,26,26,20,25,26,25,24.666666666666668,2.1343747458109497
total_jump_distance,27,27,20,27,27,28,26.0,2.70801280154532
