model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,967466.6050675289,1001203.2642358087,1028186.3718799136
lasso,940003.505322919,986599.2043490761,990034.9495644353
linear,930582.1001916861,969781.8600754417,978601.0742077957
report,918483.4,922127.14,982486.35
ridge,935866.8572558804,975300.1402460752,984093.5956676251
