set,Speed..knots._count,Speed..knots._mean,Speed..knots._std,Draught..m._count,Draught..m._mean,Draught..m._std,age_count,age_mean,age_std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,LBP..m._count,LBP..m._mean,LBP..m._std,speed_mean_count,speed_mean_mean,speed_mean_std,Dwt_count,Dwt_mean,Dwt_std,TPC_count,TPC_mean,TPC_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,LOA..m._count,LOA..m._mean,LOA..m._std,cal_fc_count,cal_fc_mean,cal_fc_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,port_frac_count,port_frac_mean,port_frac_std
Test,644,14.130745341614908,0.8014190779297126,644,12.846475155279501,2.6412071026230266,644,10.65527950310559,5.33183053683676,644,13619.9660343457,9127.0643801605,644,9755.9549689441,3743.6927195448875,644,32.48400621118012,5.907631312127017,644,200.65291925465837,38.733846478297956,644,6.641902920087065,1.8285576373428911,644,69410.40372670807,46921.743437136414,546,64.37089743589743,23.584270012810826,644,1.4753331098291926,9.693770439694646,644,207.22284161490686,38.897362844236014,644,1365.6789342991156,1097.5765209133306,644,0.15870075255529972,0.125844248754136,644,0.4348065551943017,0.1510929206717329
Training,1133,14.143821712268315,0.7948392241288005,1133,12.77621359223301,2.525355563306384,1133,9.371579876434245,5.661425240402711,1133,13893.499988028869,9129.977326213942,1133,9599.075022065314,3458.757149866389,1133,32.405278022947925,5.587221446833523,1133,199.347440423654,36.77965385869949,1133,6.78356077054802,1.6636631870773908,1133,67675.57193292145,43725.90413387179,958,64.73058455114823,23.58076631699688,1133,1.2336029220476612,7.878041089202186,1133,205.97853486319505,37.01529808810308,1133,1290.5909552522594,927.171081910091,1133,0.255302853380964,0.14925475351019696,1133,0.40375522647060685,0.14372294697137014
