r2,rmse,mae,mape,class_name,params
0.6429793818816774,0.0010416472864045053,0.013742255428223459,0.14195981674192887,LinearRegression,{}
0.5680019943534727,0.0012604021377967847,0.00854988723773134,0.08303043880227572,GradientBoostingRegressor,"{'learning_rate': 0.005, 'max_depth': 5}"
0.39569152379339334,0.001763137063930673,0.012293188648424153,0.1218783057614626,Ridge,{'alpha': 100}
0.2584100140457868,0.002163671108311034,0.013172832113541883,0.12587782200634284,Lasso,{'alpha': 0.005}
0.013664495241456742,0.002877743328749861,0.019501538309638224,0.18642029066335788,Calculation,
