model,2019,2020,2021
cb,919425.4381145589,947729.9857914575,968020.9752498374
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,923419.5281582084,951543.2603015129,967628.566710294
lasso,938177.4114234506,984401.174457531,988114.5430136789
linear,921991.8981475463,955031.5826073887,963465.9865842746
report,918483.4,922127.14,982486.35
rf,923125.9766453385,948332.31711954,969038.3457226257
ridge,931674.1450627394,968778.1929383297,976671.4881949795
