model,mae,te,mse,mape,r2,class_name,params
gb,73.30521048229895,2701.570041844163,13712.40326086743,0.058857977009061764,0.9842360892894086,GradientBoostingRegressor,"{'learning_rate': 0.005, 'max_depth': 6}"
linear,126.50921975239912,2260.020784197796,35839.236651939056,0.10015840678844043,0.9587988687490523,LinearRegression,{}
ridge,133.34254445596397,2568.474308555564,41372.39802639322,0.1060024625663879,0.9524378932005056,Ridge,{'alpha': 100}
lasso,159.28589410298838,19951.492448177003,62149.94446412922,0.12154254403761203,0.9285518259226887,Lasso,{'alpha': 0.005}
eng,1474.8749793919128,789058.1139746733,3678439.0566097125,15609.588842682391,-4267513913.8184123,Calculation,
