model,2019,2020,2021
cb,927142.2956008347,958032.0289989624,974546.9883124682
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,931225.872854375,957859.8954938131,975224.0560245772
lasso,914318.9064409941,958733.3808140939,961275.0940683043
linear,929011.0430564312,963415.3593985059,968577.4588666391
report,918483.4,922127.14,982486.35
rf,924839.1164522896,954039.580895812,973876.6948549058
ridge,928975.9576627216,963441.3800221244,968584.2575085352
