model,class_name,mae,te,mse,mape,r2,params
gb,GradientBoostingRegressor,73.03637539486647,-13632.36404413483,14116.4436506699,0.06156259897932605,0.984431948262586,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
cb,CatBoostRegressor,85.61497201705023,-18052.644967219978,15925.436349958567,0.07176492608345872,0.9824369350261046,{'verbose': 0}
rf,RandomForestRegressor,97.15639588635771,-32469.046339221906,23671.918010033613,0.07653397231562245,0.9738938748721929,"{'max_depth': 10, 'n_estimators': 200}"
ridge,Ridge,155.3943719332003,-52196.46400023588,62960.04637905929,0.12907904775821077,0.9305657087808609,{'alpha': 0.01}
linear,LinearRegression,155.4071561580013,-52123.086069927725,62963.61620928973,0.12908713746629996,0.9305617718614003,{}
lasso,Lasso,191.0260835628986,-90923.88390637869,103706.64764587555,0.15371145465665015,0.8856290935579841,{'alpha': 0.01}
