mae,te,mse,mape,r2,class_name,params
94.34976607989732,-26262.512441527782,20864.28780346187,0.07593903520557713,0.9784237059921461,RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200}"
146.29096290354326,-31867.235793279346,55012.690810089625,0.11464616796339706,0.9431099684656041,GradientBoostingRegressor,"{'learning_rate': 0.01, 'max_depth': 3}"
156.37417239221057,-36601.59961581853,57192.724335305604,0.12154446734488722,0.9408555400024752,CatBoostRegressor,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.01}"
189.46367919119731,-52485.660812328795,88751.8304954408,0.1488155724814498,0.908219460614078,LinearRegression,{}
189.46385904946635,-52488.323040637086,88752.42432605958,0.14881570396739183,0.9082188465186369,Ridge,{'alpha': 0.005}
189.50836284451503,-62581.3426406809,92050.25041397913,0.14851608545490244,0.9048084801581845,Lasso,{'alpha': 0.005}
282.7769968656568,93788.97756735413,271188.5612038001,0.2120116928502686,0.7195569681928364,Calculation,
