class_name,mae,te,mse,mape,r2,params
GradientBoostingRegressor,0.008183058968073465,-0.5924722887120726,0.000913374549860912,0.08082648456638104,0.6313559105957857,"{'learning_rate': 0.005, 'max_depth': 6}"
LinearRegression,0.012796450434302548,-0.6298656010271957,0.001372649366482815,0.13165257751963705,0.44598951672631426,{}
Lasso,0.013136478639464634,-0.9522022990153217,0.0016760586082249882,0.1307734065515098,0.32353151342865394,{'alpha': 0.005}
Ridge,0.012341100723642598,-0.7886000170859936,0.0015394200198492825,0.12498056018962521,0.3786797633956689,{'alpha': 1000}
RandomForestRegressor,0.004207051379960323,-0.28683658359152564,0.00027948885201311413,0.039199543634348986,0.8871964263021197,"{'max_depth': 30, 'n_estimators': 1000}"
CatBoostRegressor,0.0043009807330306495,-0.0754757298914982,3.209809974818734e-05,0.04599089804914078,0.9870449918326736,"{'depth': 8, 'l2_leaf_reg': 7, 'learning_rate': 0.05}"
