model,mae,te,mse,mape,r2,class_name,params
eng,396.87744240211566,340691.8329620762,940594.5914816813,0.3107938809249877,-0.35205005169180015,Calculation,
linear,463.225981555656,71013.98662151434,5019250.180837182,0.37829699481438744,-6.2148803830190396,LinearRegression,{}
linearstruct,29382229869.959232,31468366694638.6,4.857725492774037e+23,6259960.449533047,-6.982698032808778e+17,LinearRegression,{'fit_intercept': False}
