,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,5,1,1,1.6666666666666667,1.4907119849998598
HP.Total.Propulsion,2,3,3,8,2,4,3.6666666666666665,2.0548046676563256
GT,7,4,2,6,5,2,4.333333333333333,1.8856180831641267
Depth.Moulded..m.,5,5,11,2,3,7,5.5,2.9297326385411577
LOA..m.,3,6,5,4,8,12,6.333333333333333,2.981423969999719
draught_mean,4,2,7,12,6,8,6.5,3.1490739379485304
ME_W_ref_first,6,11,11,9,4,5,7.666666666666667,2.808716591058786
speed_mean,9,7,6,10,11,6,8.166666666666666,1.950783318453271
cubic_meter,8,13,11,1,9,9,8.5,3.730504880933232
Beam.Mld..m.,10,12,4,3,12,11,8.666666666666666,3.7267799624996494
Dwt,13,9,11,7,10,3,8.833333333333334,3.1841621957571338
NT,12,10,11,11,7,10,10.166666666666666,1.5723301886761007
Main.Bunker.Capacity..m3.,11,8,8,13,13,13,11.0,2.23606797749979
LDT,14,14,11,14,14,14,13.5,1.118033988749895
