model,2019,2020,2021
cb,912956.6389106419,933838.9033771367,963485.9584179639
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,911427.1992487847,935634.1822518662,960342.5674359964
lasso,902704.9967670832,937222.9767604045,944275.3418865371
linear,906842.0317364114,939515.4546686683,948307.1694793928
report,918483.4,922127.14,982486.35
rf,911185.8337616748,933939.653008095,964236.1066600301
ridge,906491.6837813817,939127.6821277176,948130.6426631305
