model,class_name,mae,te,mse,mape,r2,params
gb,GradientBoostingRegressor,68.10757418555812,-11611.47252169931,11847.071636175533,0.05248496405238916,0.987853575435146,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
cb,CatBoostRegressor,84.64206845488575,-16979.28537390452,15942.14325906875,0.06553882191841713,0.9836550291544548,{'verbose': 0}
rf,RandomForestRegressor,103.03229291590071,-33341.48902711583,27218.956095150512,0.07436839275448119,0.9720932727430905,"{'max_depth': 10, 'n_estimators': 200}"
linear,LinearRegression,159.90950722970854,-50924.26891271145,63944.79037944234,0.12304833533502217,0.9344394465981273,{}
ridge,Ridge,159.91020362812964,-50985.7985136649,63945.61005016938,0.12304323764917104,0.9344386062158826,{'alpha': 0.01}
lasso,Lasso,190.82469186856716,-84943.82148975508,99323.98144092139,0.14421990264547005,0.8981662907845327,{'alpha': 0.01}
