set,cal_fc_count,cal_fc_mean,cal_fc_std,LBP..m._count,LBP..m._mean,LBP..m._std,W_component_first_count,W_component_first_mean,W_component_first_std,Draught..m._count,Draught..m._mean,Draught..m._std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,distance_sum_count,distance_sum_mean,distance_sum_std,longest_jump_count,longest_jump_mean,longest_jump_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,TPC_count,TPC_mean,TPC_std,Dwt_count,Dwt_mean,Dwt_std,age_count,age_mean,age_std,t_m_times_v_n_sum_count,t_m_times_v_n_sum_mean,t_m_times_v_n_sum_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,port_frac_count,port_frac_mean,port_frac_std,NT_count,NT_mean,NT_std,LOA..m._count,LOA..m._mean,LOA..m._std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std
Test,644,1365.6789342991156,1097.5765209133306,644,200.65291925465837,38.733846478297956,644,8.371582681361443e-05,2.3503405495415493e-05,644,12.846475155279501,2.6412071026230266,644,6.746894409937888,9.575414327701637,644,13619.9660343457,9127.0643801605,644,2359.3192030272867,3720.2694660399275,644,1842.102172188649,1331.6315845436238,644,962.9995389141458,660.2414458509485,546,64.37089743589743,23.584270012810826,644,69410.40372670807,46921.743437136414,644,10.65527950310559,5.33183053683676,644,9123327.919869564,6263653.186997594,644,686.6454585841501,509.00477240801354,644,0.4348065551943017,0.1510929206717329,644,23013.64285714286,15210.522757708355,644,207.22284161490686,38.897362844236014,644,0.15870075255529972,0.125844248754136,644,9755.9549689441,3743.6927195448875,644,1717.5180070576453,1254.2893948716808,644,14.130745341614908,0.8014190779297126,644,32.48400621118012,5.907631312127017
Training,1133,1290.5909552522594,927.171081910091,1133,199.347440423654,36.77965385869949,1133,8.401270788555591e-05,2.2830828235863715e-05,1133,12.77621359223301,2.525355563306384,1133,6.491615180935569,7.997855849159759,1133,13893.499988028869,9129.977326213942,1133,2076.793560157702,3078.1675374593374,1133,1860.9677689924404,1415.9164586924487,1133,983.2140121487231,659.3496679050377,958,64.73058455114823,23.58076631699688,1133,67675.57193292145,43725.90413387179,1133,9.371579876434245,5.661425240402711,1133,8717573.84799647,5680107.606132417,1133,658.6410724550176,462.4716840965622,1133,0.40375522647060685,0.14372294697137014,1130,22436.428318584072,14267.25304101352,1133,205.97853486319505,37.01529808810308,1133,0.255302853380964,0.14925475351019696,1133,9599.075022065314,3458.757149866389,1133,1738.1915813900343,1340.0883988238268,1133,14.143821712268315,0.7948392241288005,1133,32.405278022947925,5.587221446833523
