year,report_fe_count,report_fe_mean,report_fe_std,cal_fe_count,cal_fe_mean,cal_fe_std
2019,506,0.0997401976284585,0.032303674627142835,506,0.09448677832742576,0.03489977112383894
2020,627,0.09723041467304626,0.06660296858330658,627,0.09269094613886485,0.029872793301475974
2021,644,0.10157947204968944,0.03436938589066658,644,0.09887855514014661,0.035951500810853326
