,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,5,1,1,1.6666666666666667,1.4907119849998598
HP.Total.Propulsion,4,3,3,8,2,4,4.0,1.9148542155126762
LOA..m.,3,5,5,3,3,9,4.666666666666667,2.1343747458109497
GT,10,2,2,7,6,3,5.0,2.943920288775949
cubic_meter,5,11,11,1,4,5,6.166666666666667,3.670452590924207
draught_mean,2,4,7,12,7,10,7.0,3.366501646120693
Dwt,6,10,11,6,11,2,7.666666666666667,3.299831645537222
Beam.Mld..m.,7,13,4,4,13,8,8.166666666666666,3.7155828016013257
speed_mean,11,7,6,10,10,7,8.5,1.8929694486000912
ME_W_ref_first,8,6,11,11,5,12,8.833333333333334,2.6718699236468995
Depth.Moulded..m.,12,8,11,2,8,13,9.0,3.6514837167011076
NT,13,12,11,9,9,6,10.0,2.309401076758503
Main.Bunker.Capacity..m3.,9,9,8,13,12,11,10.333333333333334,1.7950549357115015
LDT,14,14,11,14,14,14,13.5,1.118033988749895
