set,Draught..m._count,Draught..m._mean,Draught..m._std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,age_count,age_mean,age_std,TPC_count,TPC_mean,TPC_std,LBP..m._count,LBP..m._mean,LBP..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,NT_count,NT_mean,NT_std,longest_jump_count,longest_jump_mean,longest_jump_std,Dwt_count,Dwt_mean,Dwt_std,W_component_first_count,W_component_first_mean,W_component_first_std,LOA..m._count,LOA..m._mean,LOA..m._std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,t_m_times_v_n_sum_count,t_m_times_v_n_sum_mean,t_m_times_v_n_sum_std,cal_fc_count,cal_fc_mean,cal_fc_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,port_frac_count,port_frac_mean,port_frac_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,distance_sum_count,distance_sum_mean,distance_sum_std
Test,996,12.552078313253013,2.6297745089133064,996,31.84001004016064,5.873931978183032,996,1252.376167963053,810.3486134980163,996,2432.9623133221908,1720.2312325638834,996,10.876506024096386,5.489488378185623,814,62.68140049140049,23.132668284217687,996,197.01173694779118,38.284183793556,995,14.10251256281407,0.8311459196987954,996,9.637550200803213,13.396172693596982,996,21566.947791164657,14489.827173950007,996,3076.653004550551,4101.007782946117,996,65092.46787148595,44534.40953691856,996,8.618302494737033e-05,2.8982283656893406e-05,996,203.71171686746987,38.245831712502515,996,892.9281143018924,619.9125399125304,996,0.15964217382538465,0.11946583655398485,996,11545563.560959838,7461850.584672812,996,1686.1227407672702,1231.7848141778009,996,9418.711847389559,3588.6314800769364,996,0.43377525856038096,0.13762732776743716,996,2273.640507693633,1624.3905614950866,996,17640.485069174567,11187.767114274646
Training,1704,12.436068075117372,2.5334197776678526,1704,31.527394366197182,5.605272381248689,1704,1267.9824309288078,819.7806705386777,1704,2483.4478705299875,1823.0116984190865,1704,9.873239436619718,5.929841316406597,1420,62.15308450704226,22.307458551795396,1704,195.23149647887323,36.07243282174597,1704,14.09167840375587,0.8376316470497739,1704,9.494131455399062,12.271444046996407,1701,20762.44032921811,13539.16246973492,1704,2857.7667622476674,3628.1708655932225,1704,62627.724178403754,41401.10765454366,1704,8.721320274629278e-05,2.9804861407996384e-05,1704,202.00036384976525,36.05517213823886,1704,847.2525833902832,576.5677407678754,1704,0.2661626289473424,0.14789247089020166,1704,10765100.885176057,6724259.0043892125,1704,1578.2830550951953,1115.4304614985363,1704,9233.899061032864,3383.7510709017624,1704,0.41246334591903777,0.13357655333738014,1704,2318.11264383822,1714.5100971979377,1704,17789.05144205091,11244.418934211402
