model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,931630.8396064249,957805.9213679126,975169.8567184074
lasso,914318.9064409941,958733.3808140939,961275.0940683043
linear,929011.0430564312,963415.3593985059,968577.4588666391
report,918483.4,922127.14,982486.35
ridge,928975.9576627216,963441.3800221244,968584.2575085352
