model,2019,2020,2021
cb,675749.4135647712,803258.0635377581,823004.565702645
eng,659697.6941495999,802541.85815121,879497.2336886304
gb,664387.9954610406,805609.9976853646,826862.0777649184
lasso,654971.6418365557,807460.806555591,822466.2349459695
linear,659936.3973404609,811925.7687253726,820342.2256551802
report,676405.22,803348.83,857909.68
rf,665280.1569698006,801458.2825214686,836416.1829286851
ridge,660699.5376554414,808957.8004210757,823577.2555540431
