model,2019,2020,2021
cb,877213.5862750439,907820.6914827833,964307.3940384227
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,875173.3367293952,903392.1238540423,960620.895459303
lasso,847379.1526818903,880620.4782231424,924115.057170731
linear,850930.6042379683,883705.8814329011,928104.7819909551
report,918483.4,922127.14,982486.35
rf,877521.9789916226,903454.4963430477,959048.2375237031
ridge,850929.7605087995,883704.9910779087,928103.6667076724
