dataset,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std,cal_fe_count,cal_fe_mean,cal_fe_std
Test,536,12.400429104477611,2.0965432169132576,536,13.63945895522388,0.8875177429812713,536,9004.817164179105,2924.8175832828497,536,678.6584572974587,519.6008832722183,536,529.6047558080381,554.5951699778432,536,555.1652159908605,1035.5134524299808,536,175.42910447761193,2.3685264831142496,536,0.11845892990545791,0.06614008782489485
Training,1606,12.873455790784558,2.6609440060512872,1606,14.28571606475716,0.7051568511693747,1606,9815.581569115815,3683.695674328727,1606,577.3913382746492,418.3267460524801,1606,336.2533471239945,298.28625209188016,1606,290.0512369128725,430.24456987380665,1606,175.99003735990038,3.4879267152836078,1606,0.09937052633203287,0.040814853824318285
